category,title,description,resource,region,statusWord,message
Storage Accounts,File Service Encryption,Ensures data encryption is enabled for File Services,N/A,eastus,OK,No storage accounts found
Storage Accounts,File Service Encryption,Ensures data encryption is enabled for File Services,N/A,eastus2,OK,No storage accounts found
Storage Accounts,File Service Encryption,Ensures data encryption is enabled for File Services,N/A,southcentralus,OK,No storage accounts found
Storage Accounts,File Service Encryption,Ensures data encryption is enabled for File Services,N/A,westus2,OK,No storage accounts found
Storage Accounts,File Service Encryption,Ensures data encryption is enabled for File Services,N/A,westus3,OK,No storage accounts found
Storage Accounts,File Service Encryption,Ensures data encryption is enabled for File Services,N/A,centralus,OK,No storage accounts found
Storage Accounts,File Service Encryption,Ensures data encryption is enabled for File Services,N/A,northcentralus,OK,No storage accounts found
Storage Accounts,File Service Encryption,Ensures data encryption is enabled for File Services,N/A,westus,OK,No storage accounts found
Storage Accounts,File Service Encryption,Ensures data encryption is enabled for File Services,N/A,eastus2euap,OK,No storage accounts found
Storage Accounts,File Service Encryption,Ensures data encryption is enabled for File Services,N/A,westcentralus,OK,No storage accounts found
Storage Accounts,File Service Encryption,Ensures data encryption is enabled for File Services,N/A,centraluseuap,OK,No storage accounts found
Storage Accounts,File Service Encryption,Ensures data encryption is enabled for File Services,N/A,australiaeast,OK,No storage accounts found
Storage Accounts,File Service Encryption,Ensures data encryption is enabled for File Services,N/A,southeastasia,OK,No storage accounts found
Storage Accounts,File Service Encryption,Ensures data encryption is enabled for File Services,N/A,centralindia,OK,No storage accounts found
Storage Accounts,File Service Encryption,Ensures data encryption is enabled for File Services,N/A,eastasia,OK,No storage accounts found
Storage Accounts,File Service Encryption,Ensures data encryption is enabled for File Services,N/A,japaneast,OK,No storage accounts found
Storage Accounts,File Service Encryption,Ensures data encryption is enabled for File Services,N/A,jioindiawest,OK,No storage accounts found
Storage Accounts,File Service Encryption,Ensures data encryption is enabled for File Services,N/A,koreacentral,OK,No storage accounts found
Storage Accounts,File Service Encryption,Ensures data encryption is enabled for File Services,N/A,australiacentral,OK,No storage accounts found
Storage Accounts,File Service Encryption,Ensures data encryption is enabled for File Services,N/A,australiacentral2,OK,No storage accounts found
Storage Accounts,File Service Encryption,Ensures data encryption is enabled for File Services,N/A,australiasoutheast,OK,No storage accounts found
Storage Accounts,File Service Encryption,Ensures data encryption is enabled for File Services,N/A,japanwest,OK,No storage accounts found
Storage Accounts,File Service Encryption,Ensures data encryption is enabled for File Services,N/A,koreasouth,OK,No storage accounts found
Storage Accounts,File Service Encryption,Ensures data encryption is enabled for File Services,N/A,jioindiacentral,OK,No storage accounts found
Storage Accounts,File Service Encryption,Ensures data encryption is enabled for File Services,N/A,southindia,OK,No storage accounts found
Storage Accounts,File Service Encryption,Ensures data encryption is enabled for File Services,N/A,westindia,OK,No storage accounts found
Storage Accounts,File Service Encryption,Ensures data encryption is enabled for File Services,N/A,westeurope,OK,No storage accounts found
Storage Accounts,File Service Encryption,Ensures data encryption is enabled for File Services,N/A,northeurope,OK,No storage accounts found
Storage Accounts,File Service Encryption,Ensures data encryption is enabled for File Services,N/A,swedencentral,OK,No storage accounts found
Storage Accounts,File Service Encryption,Ensures data encryption is enabled for File Services,N/A,uksouth,OK,No storage accounts found
Storage Accounts,File Service Encryption,Ensures data encryption is enabled for File Services,N/A,francecentral,OK,No storage accounts found
Storage Accounts,File Service Encryption,Ensures data encryption is enabled for File Services,N/A,germanywestcentral,OK,No storage accounts found
Storage Accounts,File Service Encryption,Ensures data encryption is enabled for File Services,N/A,germanycentral,OK,No storage accounts found
Storage Accounts,File Service Encryption,Ensures data encryption is enabled for File Services,N/A,germanynortheast,OK,No storage accounts found
Storage Accounts,File Service Encryption,Ensures data encryption is enabled for File Services,N/A,germanynorth,OK,No storage accounts found
Storage Accounts,File Service Encryption,Ensures data encryption is enabled for File Services,N/A,norwayeast,OK,No storage accounts found
Storage Accounts,File Service Encryption,Ensures data encryption is enabled for File Services,N/A,switzerlandnorth,OK,No storage accounts found
Storage Accounts,File Service Encryption,Ensures data encryption is enabled for File Services,N/A,francesouth,OK,No storage accounts found
Storage Accounts,File Service Encryption,Ensures data encryption is enabled for File Services,N/A,norwaywest,OK,No storage accounts found
Storage Accounts,File Service Encryption,Ensures data encryption is enabled for File Services,N/A,ukwest,OK,No storage accounts found
Storage Accounts,File Service Encryption,Ensures data encryption is enabled for File Services,N/A,switzerlandwest,OK,No storage accounts found
Storage Accounts,File Service Encryption,Ensures data encryption is enabled for File Services,N/A,southafricawest,OK,No storage accounts found
Storage Accounts,File Service Encryption,Ensures data encryption is enabled for File Services,N/A,southafricanorth,OK,No storage accounts found
Storage Accounts,File Service Encryption,Ensures data encryption is enabled for File Services,N/A,uaenorth,OK,No storage accounts found
Storage Accounts,File Service Encryption,Ensures data encryption is enabled for File Services,N/A,uaecentral,OK,No storage accounts found
Storage Accounts,File Service Encryption,Ensures data encryption is enabled for File Services,N/A,brazilsouth,OK,No storage accounts found
Storage Accounts,File Service Encryption,Ensures data encryption is enabled for File Services,N/A,brazilsoutheast,OK,No storage accounts found
Storage Accounts,File Service Encryption,Ensures data encryption is enabled for File Services,N/A,canadacentral,OK,No storage accounts found
Storage Accounts,File Service Encryption,Ensures data encryption is enabled for File Services,N/A,canadaeast,OK,No storage accounts found
Storage Accounts,File Service Encryption,Ensures data encryption is enabled for File Services,N/A,qatarcentral,OK,No storage accounts found
Storage Accounts,File Service Encryption,Ensures data encryption is enabled for File Services,N/A,polandcentral,OK,No storage accounts found
Storage Accounts,File Service Encryption,Ensures data encryption is enabled for File Services,N/A,italynorth,OK,No storage accounts found
Storage Accounts,File Service Encryption,Ensures data encryption is enabled for File Services,N/A,israelcentral,OK,No storage accounts found
Storage Accounts,Network Access Default Action,Ensures that Storage Account access is restricted to trusted networks,N/A,eastus,OK,No storage accounts found
Storage Accounts,Network Access Default Action,Ensures that Storage Account access is restricted to trusted networks,N/A,eastus2,OK,No storage accounts found
Storage Accounts,Network Access Default Action,Ensures that Storage Account access is restricted to trusted networks,N/A,southcentralus,OK,No storage accounts found
Storage Accounts,Network Access Default Action,Ensures that Storage Account access is restricted to trusted networks,N/A,westus2,OK,No storage accounts found
Storage Accounts,Network Access Default Action,Ensures that Storage Account access is restricted to trusted networks,N/A,westus3,OK,No storage accounts found
Storage Accounts,Network Access Default Action,Ensures that Storage Account access is restricted to trusted networks,N/A,centralus,OK,No storage accounts found
Storage Accounts,Network Access Default Action,Ensures that Storage Account access is restricted to trusted networks,N/A,northcentralus,OK,No storage accounts found
Storage Accounts,Network Access Default Action,Ensures that Storage Account access is restricted to trusted networks,N/A,westus,OK,No storage accounts found
Storage Accounts,Network Access Default Action,Ensures that Storage Account access is restricted to trusted networks,N/A,eastus2euap,OK,No storage accounts found
Storage Accounts,Network Access Default Action,Ensures that Storage Account access is restricted to trusted networks,N/A,westcentralus,OK,No storage accounts found
Storage Accounts,Network Access Default Action,Ensures that Storage Account access is restricted to trusted networks,N/A,centraluseuap,OK,No storage accounts found
Storage Accounts,Network Access Default Action,Ensures that Storage Account access is restricted to trusted networks,N/A,australiaeast,OK,No storage accounts found
Storage Accounts,Network Access Default Action,Ensures that Storage Account access is restricted to trusted networks,N/A,southeastasia,OK,No storage accounts found
Storage Accounts,Network Access Default Action,Ensures that Storage Account access is restricted to trusted networks,N/A,centralindia,OK,No storage accounts found
Storage Accounts,Network Access Default Action,Ensures that Storage Account access is restricted to trusted networks,N/A,eastasia,OK,No storage accounts found
Storage Accounts,Network Access Default Action,Ensures that Storage Account access is restricted to trusted networks,N/A,japaneast,OK,No storage accounts found
Storage Accounts,Network Access Default Action,Ensures that Storage Account access is restricted to trusted networks,N/A,jioindiawest,OK,No storage accounts found
Storage Accounts,Network Access Default Action,Ensures that Storage Account access is restricted to trusted networks,N/A,koreacentral,OK,No storage accounts found
Storage Accounts,Network Access Default Action,Ensures that Storage Account access is restricted to trusted networks,N/A,australiacentral,OK,No storage accounts found
Storage Accounts,Network Access Default Action,Ensures that Storage Account access is restricted to trusted networks,N/A,australiacentral2,OK,No storage accounts found
Storage Accounts,Network Access Default Action,Ensures that Storage Account access is restricted to trusted networks,N/A,australiasoutheast,OK,No storage accounts found
Storage Accounts,Network Access Default Action,Ensures that Storage Account access is restricted to trusted networks,N/A,japanwest,OK,No storage accounts found
