category,title,description,resource,region,statusWord,message,compliance
VPC Network,Excessive Firewall Rules,Determines if there are an excessive number of firewall rules in the account,N/A,global,OK,Service is not enabled,PCI: PCI has strict requirements to segment networks using firewalls. Firewall Rules are a software-layer firewall that should be used to isolate resources. Ensure the number of groups does not become unmanageable.
VPC Network,Open All Ports,Determines if all ports are open to the public,N/A,global,OK,Service is not enabled,PCI: PCI has explicit requirements around firewalled access to systems. Firewalls should be properly secured to prevent access to backend services.
VPC Network,Default VPC In Use,Determines whether the default VPC is being used for launching VM instances,N/A,global,OK,Service is not enabled,"PCI: PCI has explicit requirements around default accounts and resources. PCI recommends removing all default accounts, only enabling necessary services as required for the function of the system"
VPC Network,Flow Logs Enabled,Ensures VPC flow logs are enabled for traffic logging,N/A,global,OK,Service is not enabled,PCI: PCI requires logging of all network access to environments containing cardholder data. Enable VPC flow logs to log these network requests.
VPC Network,Private Access Enabled,Ensures Private Google Access is enabled for all Subnets,N/A,global,OK,Service is not enabled,PCI: PCI recommends implementing additional security features for any required service. This includes using secured technologies such as Private Google Access.
VPC Network,Open All Ports Egress,Ensure no firewall rules allow egress to all ports and protocols.,N/A,global,OK,Service is not enabled,PCI: PCI has explicit requirements around firewalled access to systems. Firewalls should be properly secured to prevent access to backend services.
Compute,VM Instances Least Privilege,Ensures that instances are not configured to use the default service account with full access to all cloud APIs,N/A,global,OK,Service is not enabled,"PCI: PCI has explicit requirements around default accounts and resources. PCI recommends removing all default accounts, only enabling necessary services as required for the function of the system"
Compute,CSEK Encryption Enabled,Ensures Customer Supplied Encryption Key Encryption is enabled on disks,N/A,global,OK,Service is not enabled,PCI: PCI requires proper encryption of cardholder data at rest. Encryption should be enabled for all disks storing this type of data.
Compute,OS Login Enabled,Ensures OS login is enabled for the project,N/A,global,OK,Service is not enabled,PCI: PCI recommends implementing additional security features for any required service. This includes using secured technologies such as SSH.
Compute,OS Login 2FA Enabled,Ensure that Virtual Machines instances have OS logic feature enabled and configured with Two-Factor Authentication.,N/A,global,OK,Service is not enabled,PCI: PCI recommends implementing additional security features for any required service. This includes using secured technologies such as SSH.
Cryptographic Keys,Key Rotation,Ensures cryptographic keys are set to rotate on a regular schedule,N/A,global,OK,Service is not enabled,PCI: PCI has strict requirements regarding the use of encryption keys to protect cardholder data. These requirements include rotating the key periodically. Cryptographic Keys provides key rotation capabilities that should be enabled.
Cryptographic Keys,Key Rotation,Ensures cryptographic keys are set to rotate on a regular schedule,N/A,us-east1,OK,Service is not enabled,PCI: PCI has strict requirements regarding the use of encryption keys to protect cardholder data. These requirements include rotating the key periodically. Cryptographic Keys provides key rotation capabilities that should be enabled.
Cryptographic Keys,Key Rotation,Ensures cryptographic keys are set to rotate on a regular schedule,N/A,us-east4,OK,Service is not enabled,PCI: PCI has strict requirements regarding the use of encryption keys to protect cardholder data. These requirements include rotating the key periodically. Cryptographic Keys provides key rotation capabilities that should be enabled.
Cryptographic Keys,Key Rotation,Ensures cryptographic keys are set to rotate on a regular schedule,N/A,us-west1,OK,Service is not enabled,PCI: PCI has strict requirements regarding the use of encryption keys to protect cardholder data. These requirements include rotating the key periodically. Cryptographic Keys provides key rotation capabilities that should be enabled.
Cryptographic Keys,Key Rotation,Ensures cryptographic keys are set to rotate on a regular schedule,N/A,us-west2,OK,Service is not enabled,PCI: PCI has strict requirements regarding the use of encryption keys to protect cardholder data. These requirements include rotating the key periodically. Cryptographic Keys provides key rotation capabilities that should be enabled.
Cryptographic Keys,Key Rotation,Ensures cryptographic keys are set to rotate on a regular schedule,N/A,us-west3,OK,Service is not enabled,PCI: PCI has strict requirements regarding the use of encryption keys to protect cardholder data. These requirements include rotating the key periodically. Cryptographic Keys provides key rotation capabilities that should be enabled.
Cryptographic Keys,Key Rotation,Ensures cryptographic keys are set to rotate on a regular schedule,N/A,us-west4,OK,Service is not enabled,PCI: PCI has strict requirements regarding the use of encryption keys to protect cardholder data. These requirements include rotating the key periodically. Cryptographic Keys provides key rotation capabilities that should be enabled.
Cryptographic Keys,Key Rotation,Ensures cryptographic keys are set to rotate on a regular schedule,N/A,us-east5,OK,Service is not enabled,PCI: PCI has strict requirements regarding the use of encryption keys to protect cardholder data. These requirements include rotating the key periodically. Cryptographic Keys provides key rotation capabilities that should be enabled.
Cryptographic Keys,Key Rotation,Ensures cryptographic keys are set to rotate on a regular schedule,N/A,us-south1,OK,Service is not enabled,PCI: PCI has strict requirements regarding the use of encryption keys to protect cardholder data. These requirements include rotating the key periodically. Cryptographic Keys provides key rotation capabilities that should be enabled.
Cryptographic Keys,Key Rotation,Ensures cryptographic keys are set to rotate on a regular schedule,N/A,us-central1,OK,Service is not enabled,PCI: PCI has strict requirements regarding the use of encryption keys to protect cardholder data. These requirements include rotating the key periodically. Cryptographic Keys provides key rotation capabilities that should be enabled.
Cryptographic Keys,Key Rotation,Ensures cryptographic keys are set to rotate on a regular schedule,N/A,northamerica-northeast1,OK,Service is not enabled,PCI: PCI has strict requirements regarding the use of encryption keys to protect cardholder data. These requirements include rotating the key periodically. Cryptographic Keys provides key rotation capabilities that should be enabled.
Cryptographic Keys,Key Rotation,Ensures cryptographic keys are set to rotate on a regular schedule,N/A,northamerica-northeast2,OK,Service is not enabled,PCI: PCI has strict requirements regarding the use of encryption keys to protect cardholder data. These requirements include rotating the key periodically. Cryptographic Keys provides key rotation capabilities that should be enabled.
Cryptographic Keys,Key Rotation,Ensures cryptographic keys are set to rotate on a regular schedule,N/A,southamerica-east1,OK,Service is not enabled,PCI: PCI has strict requirements regarding the use of encryption keys to protect cardholder data. These requirements include rotating the key periodically. Cryptographic Keys provides key rotation capabilities that should be enabled.
Cryptographic Keys,Key Rotation,Ensures cryptographic keys are set to rotate on a regular schedule,N/A,southamerica-west1,OK,Service is not enabled,PCI: PCI has strict requirements regarding the use of encryption keys to protect cardholder data. These requirements include rotating the key periodically. Cryptographic Keys provides key rotation capabilities that should be enabled.
Cryptographic Keys,Key Rotation,Ensures cryptographic keys are set to rotate on a regular schedule,N/A,europe-west1,OK,Service is not enabled,PCI: PCI has strict requirements regarding the use of encryption keys to protect cardholder data. These requirements include rotating the key periodically. Cryptographic Keys provides key rotation capabilities that should be enabled.
Cryptographic Keys,Key Rotation,Ensures cryptographic keys are set to rotate on a regular schedule,N/A,europe-west2,OK,Service is not enabled,PCI: PCI has strict requirements regarding the use of encryption keys to protect cardholder data. These requirements include rotating the key periodically. Cryptographic Keys provides key rotation capabilities that should be enabled.
Cryptographic Keys,Key Rotation,Ensures cryptographic keys are set to rotate on a regular schedule,N/A,europe-west3,OK,Service is not enabled,PCI: PCI has strict requirements regarding the use of encryption keys to protect cardholder data. These requirements include rotating the key periodically. Cryptographic Keys provides key rotation capabilities that should be enabled.
Cryptographic Keys,Key Rotation,Ensures cryptographic keys are set to rotate on a regular schedule,N/A,europe-west4,OK,Service is not enabled,PCI: PCI has strict requirements regarding the use of encryption keys to protect cardholder data. These requirements include rotating the key periodically. Cryptographic Keys provides key rotation capabilities that should be enabled.
Cryptographic Keys,Key Rotation,Ensures cryptographic keys are set to rotate on a regular schedule,N/A,europe-west6,OK,Service is not enabled,PCI: PCI has strict requirements regarding the use of encryption keys to protect cardholder data. These requirements include rotating the key periodically. Cryptographic Keys provides key rotation capabilities that should be enabled.
Cryptographic Keys,Key Rotation,Ensures cryptographic keys are set to rotate on a regular schedule,N/A,europe-north1,OK,Service is not enabled,PCI: PCI has strict requirements regarding the use of encryption keys to protect cardholder data. These requirements include rotating the key periodically. Cryptographic Keys provides key rotation capabilities that should be enabled.
Cryptographic Keys,Key Rotation,Ensures cryptographic keys are set to rotate on a regular schedule,N/A,europe-central2,OK,Service is not enabled,PCI: PCI has strict requirements regarding the use of encryption keys to protect cardholder data. These requirements include rotating the key periodically. Cryptographic Keys provides key rotation capabilities that should be enabled.
Cryptographic Keys,Key Rotation,Ensures cryptographic keys are set to rotate on a regular schedule,N/A,europe-west8,OK,Service is not enabled,PCI: PCI has strict requirements regarding the use of encryption keys to protect cardholder data. These requirements include rotating the key periodically. Cryptographic Keys provides key rotation capabilities that should be enabled.
Cryptographic Keys,Key Rotation,Ensures cryptographic keys are set to rotate on a regular schedule,N/A,europe-southwest1,OK,Service is not enabled,PCI: PCI has strict requirements regarding the use of encryption keys to protect cardholder data. These requirements include rotating the key periodically. Cryptographic Keys provides key rotation capabilities that should be enabled.
Cryptographic Keys,Key Rotation,Ensures cryptographic keys are set to rotate on a regular schedule,N/A,europe-west9,OK,Service is not enabled,PCI: PCI has strict requirements regarding the use of encryption keys to protect cardholder data. These requirements include rotating the key periodically. Cryptographic Keys provides key rotation capabilities that should be enabled.
Cryptographic Keys,Key Rotation,Ensures cryptographic keys are set to rotate on a regular schedule,N/A,asia-south1,OK,Service is not enabled,PCI: PCI has strict requirements regarding the use of encryption keys to protect cardholder data. These requirements include rotating the key periodically. Cryptographic Keys provides key rotation capabilities that should be enabled.
Cryptographic Keys,Key Rotation,Ensures cryptographic keys are set to rotate on a regular schedule,N/A,asia-south2,OK,Service is not enabled,PCI: PCI has strict requirements regarding the use of encryption keys to protect cardholder data. These requirements include rotating the key periodically. Cryptographic Keys provides key rotation capabilities that should be enabled.
Cryptographic Keys,Key Rotation,Ensures cryptographic keys are set to rotate on a regular schedule,N/A,asia-southeast1,OK,Service is not enabled,PCI: PCI has strict requirements regarding the use of encryption keys to protect cardholder data. These requirements include rotating the key periodically. Cryptographic Keys provides key rotation capabilities that should be enabled.
Cryptographic Keys,Key Rotation,Ensures cryptographic keys are set to rotate on a regular schedule,N/A,asia-southeast2,OK,Service is not enabled,PCI: PCI has strict requirements regarding the use of encryption keys to protect cardholder data. These requirements include rotating the key periodically. Cryptographic Keys provides key rotation capabilities that should be enabled.
Cryptographic Keys,Key Rotation,Ensures cryptographic keys are set to rotate on a regular schedule,N/A,asia-east1,OK,Service is not enabled,PCI: PCI has strict requirements regarding the use of encryption keys to protect cardholder data. These requirements include rotating the key periodically. Cryptographic Keys provides key rotation capabilities that should be enabled.
Cryptographic Keys,Key Rotation,Ensures cryptographic keys are set to rotate on a regular schedule,N/A,asia-east2,OK,Service is not enabled,PCI: PCI has strict requirements regarding the use of encryption keys to protect cardholder data. These requirements include rotating the key periodically. Cryptographic Keys provides key rotation capabilities that should be enabled.
Cryptographic Keys,Key Rotation,Ensures cryptographic keys are set to rotate on a regular schedule,N/A,asia-northeast1,OK,Service is not enabled,PCI: PCI has strict requirements regarding the use of encryption keys to protect cardholder data. These requirements include rotating the key periodically. Cryptographic Keys provides key rotation capabilities that should be enabled.
Cryptographic Keys,Key Rotation,Ensures cryptographic keys are set to rotate on a regular schedule,N/A,asia-northeast2,OK,Service is not enabled,PCI: PCI has strict requirements regarding the use of encryption keys to protect cardholder data. These requirements include rotating the key periodically. Cryptographic Keys provides key rotation capabilities that should be enabled.
Cryptographic Keys,Key Rotation,Ensures cryptographic keys are set to rotate on a regular schedule,N/A,asia-northeast3,OK,Service is not enabled,PCI: PCI has strict requirements regarding the use of encryption keys to protect cardholder data. These requirements include rotating the key periodically. Cryptographic Keys provides key rotation capabilities that should be enabled.
Cryptographic Keys,Key Rotation,Ensures cryptographic keys are set to rotate on a regular schedule,N/A,australia-southeast1,OK,Service is not enabled,PCI: PCI has strict requirements regarding the use of encryption keys to protect cardholder data. These requirements include rotating the key periodically. Cryptographic Keys provides key rotation capabilities that should be enabled.
